	Teilnehmer	AufgabeItem	Antwort	gesamt	Gesichtszellen speicher nur bestimmte Aspekt vom Gesichtsraum_dist
8	2304	54.3	Gesichtszellen speicher nur bestimmte Aspekt vom Gesichtsraum	1	0.9999999999999615
183	2778	54.3	nur einige Aspekt des Gesichts in Gesichtszellen speichert werden	0	0.8943119446480086
11	2310	54.3	Gesichtszellen nur eine bestimmte räumliche Information auf Gesichts speichern	1	0.8810493042254036
21	2326	54.3	Die Gesichtszellen haben nur ein Aspekt des Gesichts gespeichert	1	0.8801466256714493
129	2691	54.3	Gesichtszellen erkennen nur eine bestimmte aspelte der Gesichtsraum	1	0.8234035129201767
61	2439	54.3	Jede Gesichtszelle erfasst nur ein Aspekt aus dem Erkennungsgesicht	1	0.757197702082049
100	2505	54.3	Die Gesichtszellen bilden nur bestimmte Information ab, statt jedes Gesicht zu speichern.	1	0.7470292190213021
109	2524	54.3	Nur die Räumliche Informationen jedes Gesichtes sind gespeichert.	0	0.7457319403868736
74	2453	54.3	nur ein Aspekt im Gesichtsraum wird erkannt	1	0.7230610460842984
7	2303	54.3	Gesichtszellen fassen nur ein Detail vom Gesicht	1	0.6999508777263997
120	2648	54.3	einige Räumlichkeiten im Gesicht gespeichert	0	0.6826285885409795
12	2311	54.3	bestimmte Information einer Gesichts speichern	0	0.6810448483664772
118	2543	54.3	Gesichtszellen tragen nur bestimmte Informationen bei	0	0.6761857519859531
190	2790	54.3	Gesichtzellen hat nur ein bestimmit Raum für ein Gesicht	0	0.674707303998867
192	2794	54.3	Gesichtzelle erkennt nur räumliche Infos von Gesichte	0	0.6718461993415146
1	2292	54.3	die Gesichtszellen segen nicht nur ganze Gesichte, sondern bilden räumliche Informationen ab	0	0.6671018220580784
16	2317	54.3	gesichtszelle erfasst eine bestimmte Aspekt in der Gesicht	1	0.6598422707592027
65	2443	54.3	jede Gesichtszelle bestimmt einen Gesichtsraum	0	0.650088463641883
67	2445	54.3	Erkännung nur bestimmte Gesichtszügen	0	0.6463109034503404
114	2535	54.3	Gesichtszellen bilden einen bestimmten Aspekt ab	1	0.6400251727183539
148	2732	54.3	Eine Gesichtszelle kann nur eine bestimmte Raum der Gesicht abbilden, jede Zellen machen anders	1	0.621793940319679
162	2748	54.3	Gesichtzelle ist nur mit ein Aspekt besetzt	0	0.6196895864894058
193	2795	54.3	eine Gesicht wird in einen bestimmt Zellen speichert, nicht	0	0.6188214226381072
3	2295	54.3	Gesichtzellen erfasst  Anblick von verschiedenen Gesichts gleich bleiben  nur ein Aspekt fassen, für amdere blind bleiben	1	0.614190837270497
75	2454	54.3	jedes Gesicht erkennt eine bestimmte Aspekte	0	0.6132719872173689
5	2298	54.3	Gesichtszellen geben räumliche Information über das Gesicht	0	0.6132204446807685
151	2736	54.3	Gesicht Zellen -> bestimmt räumlich Aktion speichern	0	0.6056288074930374
60	2438	54.3	Gesichtszellen kodieren bestimmte räumliche Informationen  Es werden einzelne Aspekte erfasst	1	0.6017188988150606
83	2464	54.3	Die Gesichtszellen bilden bestimmte Aspekte ab, nicht ein Gesicht einzeln - sie arbeiten also vernetzt	1	0.5944429209741139
57	2435	54.3	jede Gesichtszelle erkennt nur einen Teil, für andere Teile blind	1	0.5821822793982013
35	2363	54.3	Die Gesichtszelle können nur eine bestimmte Infos abbilden.	0	0.5715200529783651
127	2689	54.3	Gesichtsseele ist nur ein kleiner Teil von dem Kopf	0	0.5712546257581406
92	2488	54.3	Gesichtszelle bestimmte Gehirn	0	0.5691208539746391
108	2523	54.3	Die Gesichtszellen bilden eine bestimmte räumliche Information ab	1	0.5675171300530522
188	2787	54.3	eine Gesichtzelle-nur ein Gesicht erkenne	0	0.5670944043426698
164	2750	54.3	Verschiedene gesichtszellen nur bestimmte Aspekten haben	0	0.5601641367125045
47	2388	54.3	nur eine raümlcihe Information speichern	1	0.553735975943294
142	2723	54.3	jede Zelle erkennt bestimmte Aspekte von dem Gesicht	1	0.5490751980148438
78	2458	54.3	die Gesichtszellen sind nur für die eigene Zelle ständig, für andere Funktion blind.	0	0.5249050890223933
59	2437	54.3	es gibt eine jeweilige räumlich Information für jedes Gesicht	0	0.5212428863420784
51	2399	54.3	jede Gesichtzelle dekodiert ein beschtimmtes Gesicht	0	0.5124035423676723
161	2747	54.3	Gesichtszellen, Zellen bleiben gleich jede Zelle sieht eine Aspekte	0	0.5115667449822526
95	2497	54.3	Forscher haben Aktivität von Privaten dargestellt.  von unterschiedlichen Gesichten sind  nur bestimmte Merkmale bemerkt	0	0.5114932586194065
18	2319	54.3	Gesichtszellen bleiben gleich, wenn ein Gesicht zweimal gesehen ist	0	0.5113684848324294
68	2446	54.3	Nerven nur bestimmten Information über Gesichte abbilden, sonst bleiben sie gleich	0	0.5111136676855049
141	2722	54.3	Die Zellen stehen eine bestimmte raumliche Gesicht	0	0.5089966481470545
136	2712	54.3	einen bestimten aspekte von jede gesicht konnen si zellen speichern   gibt es andere aspekte wo si zellen glich	1	0.5046662148945081
73	2452	54.3	jede Gesichtszelle enthält ihre eigene Information	0	0.5038358113988163
22	2327	54.3	nur ein bestimmtes Aspekt wird ausgerufen	0	0.5009344354316516
166	2752	54.3	jede Gesicht hat andere Merkmal	0	0.49072008480106777
82	2462	54.3	Nervenimpulse bestimmen die Gesichtszellen, die eine bestimmte räumliche Information abbilden	0	0.4898222399481521
105	2518	54.3	bestimmte zelle sind für annerkennung eins Gesichts verntwortlilch	0	0.4876444468441382
13	2313	54.3	die Nervenimpulse blieben gleich  Gesichtszellen nur raumliche	0	0.4750144601881907
147	2729	54.3	Eine Zelle ist nur für ein Aspekt der Anerkennung eines Gesichtes zuständig	1	0.47435751133838977
0	2291	54.3	Die Nervenimpulse bleiben gleich. Einen bestimmten Aspekt wird von den Gesichtszellen gespeichert, nicht alles, was wir sehen.	1	0.47360093226642164
159	2745	54.3	Die Gesichtszellen können bestimmte Informationen reagieren. Für andere Aspekt gibt es andere Funktionen .	0	0.47022273569196515
71	2449	54.3	eine Zelle erfasst nur einen Aspekt	0	0.46938682217007266
124	2659	54.3	Impulse bei Anblick von Gesichtern bleiben gleich.   Jede Zelle verarbeitet nur ein Aspekt	1	0.46826534986915025
132	2697	54.3	Die Nervenimpulse bleiben gleich, wenn es um die bekennten Gesichten geht, jede Gesichtszelle nutyt nur ein bestimmtes Raum	0	0.4681995580162863
38	2371	54.3	die Gesichtszellen sind gleich	0	0.468061105022319
113	2534	54.3	Nervenimpulse bleiben gleich beim Einblick von verschiedenen Gesichten  Jede Gesichtszelle ist fur ein Aspekt des Erkennens zuständig	1	0.4628719235512623
26	2334	54.3	Nervenimpulse entsehen in den Gesichtszellen	0	0.45365468127028663
77	2457	54.3	die Aktivitäten in dem Gehirn eines Affes und man sieht das nur bestimmten Angaben des Gesichts anerkannt werden.	0	0.4509694206193551
32	2354	54.3	Gesichts zellen erfassen	0	0.44829811278794585
86	2478	54.3	Die Gesichtszeilen verschiedener	0	0.44688403558394985
156	2741	54.3	Die nervenimpulsen bleiben gleich  Ein bestimmte Gesicht zu rol	0	0.44156252555230446
89	2484	54.3	die nerven von gezichtzellen fur verschiedene gesichte waren besonders	0	0.441504091274616
102	2507	54.3	Beim Erkennen von Gesichten sind sie blind für andere Funktionnen	0	0.44028312077000786
17	2318	54.3	Die zellen bei verschiedene Gesichter bleiben gleich. Eigentlich die verschiedene Zellen nehmen Information über die verschiedene Gesichtaspekte eines Mensches.	1	0.4369878849406642
23	2328	54.3	Nervenimpulse gleich bleiben  jede Gesichtszelle eine bestimmte Funktion hat	0	0.43671326512092157
131	2696	54.3	Das Gesicht kann als räumliche Information entschlüsselt werden.	0	0.4364746717340513
165	2751	54.3	gleiche regionen wird in unterschiedlichen Gesichte aktiviert   jede Nerve hat eine aspekte von gesicht wahrgenommen	1	0.43563072073720255
133	2706	54.3	die Nervenimpulse bestimte Gesichtszelle blieben gleich  nur bestimte Informationen wurden empfangen  nutzt einen bestimmte Aspekt - für andere Funktionen blind	0	0.4341476670486347
194	2797	54.3	Zwei Seiten von Gesichtszelle sind unterschiedlich.	0	0.430206342816461
