Teilnehmer	AufgabeItem	Antwort	gesamt	morph_overlap
2304	54.3	Gesichtszellen speicher nur bestimmte Aspekt vom Gesichtsraum	1	8.0
2691	54.3	Gesichtszellen erkennen nur eine bestimmte aspelte der Gesichtsraum	1	4.571428571428571
2706	54.3	die Nervenimpulse bestimte Gesichtszelle blieben gleich  nur bestimte Informationen wurden empfangen  nutzt einen bestimmte Aspekt - für andere Funktionen blind	0	3.4285714285714284
2310	54.3	Gesichtszellen nur eine bestimmte räumliche Information auf Gesichts speichern	1	3.4285714285714284
2543	54.3	Gesichtszellen tragen nur bestimmte Informationen bei	0	3.4285714285714284
2505	54.3	Die Gesichtszellen bilden nur bestimmte Information ab, statt jedes Gesicht zu speichern.	1	3.4285714285714284
2745	54.3	Die Gesichtszellen können bestimmte Informationen reagieren. Für andere Aspekt gibt es andere Funktionen .	0	3.4285714285714284
2303	54.3	Gesichtszellen fassen nur ein Detail vom Gesicht	1	3.4285714285714284
2453	54.3	nur ein Aspekt im Gesichtsraum wird erkannt	1	3.4285714285714284
2326	54.3	Die Gesichtszellen haben nur ein Aspekt des Gesichts gespeichert	1	3.4285714285714284
2535	54.3	Gesichtszellen bilden einen bestimmten Aspekt ab	1	3.395238095238095
2291	54.3	Die Nervenimpulse bleiben gleich. Einen bestimmten Aspekt wird von den Gesichtszellen gespeichert, nicht alles, was wir sehen.	1	3.395238095238095
2464	54.3	Die Gesichtszellen bilden bestimmte Aspekte ab, nicht ein Gesicht einzeln - sie arbeiten also vernetzt	1	3.380952380952381
2438	54.3	Gesichtszellen kodieren bestimmte räumliche Informationen  Es werden einzelne Aspekte erfasst	1	3.380952380952381
2451	54.3	Studie über Affen: In der Gesischsstelle nur einige bestimmte Aspekte ergreifen werden	0	3.380952380952381
2750	54.3	Verschiedene gesichtszellen nur bestimmte Aspekten haben	0	3.345238095238095
2778	54.3	nur einige Aspekt des Gesichts in Gesichtszellen speichert werden	0	3.2857142857142856
2748	54.3	Gesichtzelle ist nur mit ein Aspekt besetzt	0	2.2857142857142856
2439	54.3	Jede Gesichtszelle erfasst nur ein Aspekt aus dem Erkennungsgesicht	1	2.2857142857142856
2449	54.3	eine Zelle erfasst nur einen Aspekt	0	2.2857142857142856
2313	54.3	die Nervenimpulse blieben gleich  Gesichtszellen nur raumliche	0	2.2857142857142856
2458	54.3	die Gesichtszellen sind nur für die eigene Zelle ständig, für andere Funktion blind.	0	2.2857142857142856
2462	54.3	Nervenimpulse bestimmen die Gesichtszellen, die eine bestimmte räumliche Information abbilden	0	2.2857142857142856
